Company;Description;Company ID Number;Users;;;;;;;;;;;;
;;;2008;2009;2010;2011;2012;2013;;;;;;;
Odesk;Global Job Market Place;2;;45;105;25;116;;;;;;;;
Kiva ;P2P Lending Company;3;;;48;23;70;35;;;;;;;
Yammer;Enterprise social network;68;;1233;100;150;75;14;;;;;;;
Athena Health;Healthcare business services;4;;35;;58;20;;;;;;;;
Shutterfly;Image publishing service;5;;18;24;32;31;;;;;;;;
LinkedIN;Social Network For Professionals;6;;68;165;52;50;17;;;;;;;
Netflix;Online TV Channel;7;;35;63;31;26;;;;;;;;
Facebook;Network site;8;;600;114;179;225;;;;;;;;
RenRen;Chinese social network platform;69;;152;33;34;21;9;;;;;;;
Yelp;Online review platform;9;;67;64;61;41;64;;;;;;;
AirBNB (2008);Tourism / Hospitality;10;;;150;300;200;50;;;;;;;
Wikipedia;Digital Enclyclopedia ;11;;;21;13;10;;;;;;;;
Kickstarter;Digital crowdfunding;12;;;;143;54;;;;;;;;
ZipCar;Car Sharing Platform;13;;;140;25;16;4;;;;;;;
Evernote;Digital Notebook;14;;319;186;233;105;59;;;;;;;
Spotify;Online Music Service;15;;;43;50;50;20;;;;;;;
Salesforce;Cloudcomputing;16;;55;23;43;93;;;;;;;;
Ancestry;;17;;16;30;20;49;;;;;;;;
Global Giving;Micro Credit Lending Club;18;;80;70;101;;;;;;;;;
Quirky ;Socially Developed Product Company;71;;;;100;230;74;;;;;;;
Alpe d'Huzes;Charity Event;19;;1200;231;8;72;;;;;;;;
Crowdgather;Network of online, forum based communities;70;;100;90;173;73;;;;;;;;
Elance;Online platform for work;20;;;83;18;54;45;;;;;;;
Survey Monkey;Survey Monkey;21;;;100;70;41;25;;;;;;;
Plos;Open Source Journal;22;;;;;;;;;;;;;
Crowdflower;Online P2P task platform;23;;;300;200;66;60;;;;;;;
DeviantArt;Online artwork community;24;;57;18;38;27;22;;;;;;;
Youtube;Video Sharing website ;62;;54;325;88;;;;;;;;;
Research Gate;Online network for science and research;63;;100;257;160;69;36;;;;;;;
Baidu;Chinese search engine;64;;;;;89;41;;;;;;;
TedX;Video Conference Website;65;;300;25;100;100;;;;;;;;
Alibaba Group;Internet-based businesses with a mission to make it easy for anyone to buy or sell anywhere in the world;66;;25;19;28;;;;;;;;;
Meet Up;Facilitate off line groups meetings;67;;100;53;31;39;36;;;;;;;
23AndMe;Provides rapid genetic testing;25;;;;53;80;94;;;;;;;
Twitter;Social Micro Blogging website;26;;;;135;57;56;;;;;;;
Patientslikeme;Platform people physical problems;27;;80;22;81;60;38;;;;;;;
Shiply;Transporting ;28;;;338;71;100;67;;;;;;;
Skype;Online Communicating Platform;29;;46;40;;;;;;;;;;
Instragram;Photo Application;30;;;100;900;900;50;;;;;;;
Shapeways;3D Printing Company;72;;;100;100;130;23;;;;;;;
Foursquare;Locations Based Services;31;;;5.900;150;67;60;;;;;;;
Pinterest;Photo-sharing website ;32;;;;100;368;44;;;;;;;
Khan Academy ;Online education program;33;;;;13.900;71;;;;;;;;
Docstoc;File Sharing Website;34;;;88;267;173;17;;;;;;;
Dropbox;File Sharing Cloud;35;;1.900;525;100;100;75;;;;;;;
BlaBlaCar (2006);Travelling / Mobility ;36;;4.900;150;280;300;;;;;;;;
Arduino;OSHW project;37;;84;36;136;77;100;;;;;;;
Couchsurfing;Hospitality / Tourism;38;;;242;25;32;;;;;;;;
Sparkfun;OSHW webshop;39;;;;;;;;;;;;;
37signals;Web Application Company;40;;;;;;;;;;;;;
Android ;Application Platform;41;;;;4.900;300;60;;;;;;;
Whatsapp;Application ;42;;;100;900;900;50;;;;;;;
Ebay;E-Commerce Website;43;;;;;;;;;;;;;
Makerbot;Desktop 3D printing;44;;;49;54;63;;;;;;;;
Huffington Post;Online News Aggregretor;45;;;;;;;;;;;;;
Etsy;E-Commerce Website;46;;;977;43;120;37;;;;;;;
Taskrabbit;Online p2p platform;47;;;;900;200;;;;;;;;
Fon ;"""Flexible"" Wifi provider";48;;;;623;;;;;;;;;
Quora;Questions and Answers;49;;;100;37.163;;;;;;;;;
Lendingclub;P2P Lending Company;50;;;;;;;;;;;;;
Carpooling.com;Ride Sharing;51;;;;100;6;32;;;;;;;
Stack Overflow;Questions and Answers;52;;;;;;;;;;;;;
Outbrain;Content recommendation service;53;;;;;;;;;;;;;
We Transfer;Digital filesending website;54;;;;;;;;;;;;;
Layar;Augmented Reality App;55;;;;;;;;;;;;;
Waze;Navigation Application;56;;100;5.163;900;240;47;;;;;;;
Guifinet;Free, Open, neutral wireless community network;61;;;;;;;;;;;;;
Change.org;Platform for social change;60;;;;500;233;125;;;;;;;
Hoote Suite;Social Media Dashboard;59;;100;400;170;85;40;;;;;;;
Causes;Platform for social change;58;;483;70;18;33;;;;;;;;
8Coupon;Coupon aggregator;57;;30;150;;;;;;;;;;