"","ImpactRelative","CrowdSourced","Centralized","Money","Property","Knowledge","Services","Media","Data","Relationships","Service","Market","Platform","Commons","Redistribution","Breaktrough","Producer"
"203",60,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"204",56,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"205",NA,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"206",NA,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"207",NA,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"208",NA,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"209",61,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"210",NA,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"211",NA,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"212",164,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"213",128,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"214",117,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"215",209,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"216",NA,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"217",NA,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0
"218",60,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0
"219",39,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0
"220",19,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0
"221",66,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0
"222",81,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0
"223",NA,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1
"224",NA,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1
"225",NA,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1
"226",NA,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1
"227",NA,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1
"228",NA,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1
"229",50,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"230",127,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"231",NA,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"232",150,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"233",NA,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"234",NA,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"235",14,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"236",NA,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"237",54,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"238",33,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"239",6,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"240",30,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"241",NA,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1
"242",80,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1
"243",260,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1
"244",91,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1
"245",74,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1
"246",15,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1
"247",NA,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"248",NA,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"249",NA,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"250",NA,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"251",NA,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"252",NA,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"253",NA,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
"254",NA,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
"255",NA,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
"256",33,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
"257",NA,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
"258",NA,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
"259",NA,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
"260",NA,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
"261",26,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
"262",NA,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
"263",NA,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
"264",5528,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
"265",57,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"266",53,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"267",104,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"268",184,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"269",NA,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"270",70,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"271",NA,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1
"272",NA,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1
"273",NA,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1
"274",NA,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1
"275",77,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1
"276",180,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1
"277",NA,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
"278",18,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
"279",46,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
"280",47,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
"281",NA,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
"282",29,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
"283",44900,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
"284",67,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
"285",NA,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
"286",NA,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
"287",50,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
"288",11,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
"289",20,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
"290",22,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
"291",38,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
"292",NA,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
"293",NA,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
"294",NA,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
"295",300,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"296",NA,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"297",NA,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"298",67,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"299",NA,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"300",50,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"301",NA,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"302",100,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"303",NA,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"304",NA,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"305",69,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"306",89,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"307",NA,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"308",4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"309",17,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"310",34,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"311",32,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"312",NA,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"313",NA,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
"314",26,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
"315",21,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
"316",NA,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
"317",NA,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
"318",NA,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
"319",38,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"320",19,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"321",NA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"322",NA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"323",NA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"324",NA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"325",NA,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"326",67,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"327",NA,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"328",20,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"329",160,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"330",362,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"331",114,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"332",NA,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"333",NA,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"334",72,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"335",27,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"336",65,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"337",27,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
"338",NA,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
"339",25,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
"340",28,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
"341",NA,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
"342",60,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
"343",NA,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
"344",NA,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
"345",67,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
"346",NA,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
"347",NA,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
"348",NA,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
"349",NA,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1
"350",NA,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1
"351",NA,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1
"352",82,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1
"353",892,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1
"354",28,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1
"355",NA,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1
"356",NA,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1
"357",NA,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1
"358",115,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1
"359",143,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1
"360",47,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1
"361",NA,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
"362",NA,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
"363",NA,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
"364",NA,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
"365",NA,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
"366",NA,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
"367",NA,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"368",NA,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"369",NA,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"370",214,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"371",NA,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"372",NA,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"373",NA,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0
"374",NA,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0
"375",145,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0
"376",NA,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0
"377",1000,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0
"378",NA,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0
"379",NA,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"380",29,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"381",14,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"382",31,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"383",NA,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"384",12,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"385",NA,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
"386",2900,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
"387",167,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
"388",150,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
"389",65,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
"390",NA,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
"391",NA,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"392",125,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"393",64,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"394",17,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"395",67,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"396",47,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"397",NA,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
"398",900,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
"399",100,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
"400",50,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
"401",33,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
"402",NA,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
"403",NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"404",NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"405",NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"406",8,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"407",10,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"408",NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
