Company,Type,Year,RealYear,Data
Facebook,Revenue,1,2004,382000
Facebook,Revenue,2,2005,9000000
Facebook,Revenue,3,2006,48000000
Facebook,Revenue,4,2007,153000000
Facebook,Revenue,5,2008,272000000
Facebook,Revenue,6,2009,777000000
Facebook,Revenue,7,2010,1974000000
Facebook,Revenue,8,2011,3711000000
Facebook,Revenue,9,2012,5089000000
Facebook,Revenue,10,2013,6600000000
Facebook,Revenue,11,2014,
Facebook,Revenue,12,2015,
Facebook,Revenue,13,2016,
Facebook,Revenue,14,2017,
Facebook,Revenue,15,2018,
Facebook,Revenue,16,2019,
Facebook,Revenue,17,2020,
Facebook,Users,1,2004,1000000
Facebook,Users,2,2005,5500000
Facebook,Users,3,2006,12000000
Facebook,Users,4,2007,50000000
Facebook,Users,5,2008,175000000
Facebook,Users,6,2009,350000000
Facebook,Users,7,2010,608000000
Facebook,Users,8,2011,845000000
Facebook,Users,9,2012,1056000000
Facebook,Users,10,2013,1190000000
Facebook,Users,11,2014,
Facebook,Users,12,2015,
Facebook,Users,13,2016,
Facebook,Users,14,2017,
Facebook,Users,15,2018,
Facebook,Users,16,2019,
Facebook,Users,17,2020,
Facebook,Units,1,2004,
Facebook,Units,2,2005,
Facebook,Units,3,2006,
Facebook,Units,4,2007,98000000
Facebook,Units,5,2008,242000000
Facebook,Units,6,2009,1000000000
Facebook,Units,7,2010,5000000000
Facebook,Units,8,2011,7000000000
Facebook,Units,9,2012,17500000000
Facebook,Units,10,2013,33250000000
Facebook,Units,11,2014,
Facebook,Units,12,2015,
Facebook,Units,13,2016,
Facebook,Units,14,2017,
Facebook,Units,15,2018,
Facebook,Units,16,2019,
Facebook,Units,17,2020,
NetFlix,Revenue,1,1997,5006000
NetFlix,Revenue,2,1998,35894000
NetFlix,Revenue,3,1999,75912000
NetFlix,Revenue,4,2000,152806000
NetFlix,Revenue,5,2001,272434000
NetFlix,Revenue,6,2002,506228000
NetFlix,Revenue,7,2003,682213000
NetFlix,Revenue,8,2004,996660000
NetFlix,Revenue,9,2005,1205430000
NetFlix,Revenue,10,2006,1364661000
NetFlix,Revenue,11,2007,1670269000
NetFlix,Revenue,12,2008,2162625000
NetFlix,Revenue,13,2009,3204577000
NetFlix,Revenue,14,2010,3609282000
NetFlix,Revenue,15,2011,
NetFlix,Revenue,16,2012,
NetFlix,Revenue,17,2013,
NetFlix,Users,1,1997,107000
NetFlix,Users,2,1998,292000
NetFlix,Users,3,1999,456000
NetFlix,Users,4,2000,857000
NetFlix,Users,5,2001,1487000
NetFlix,Users,6,2002,2600000
NetFlix,Users,7,2003,4200000
NetFlix,Users,8,2004,6300000
NetFlix,Users,9,2005,7500000
NetFlix,Users,10,2006,9390000
NetFlix,Users,11,2007,12268000
NetFlix,Users,12,2008,20010000
NetFlix,Users,13,2009,26253000
NetFlix,Users,14,2010,33000000
NetFlix,Users,15,2011,47400000
NetFlix,Users,16,2012,
NetFlix,Users,17,2013,
NetFlix,Units,1,1997,
NetFlix,Units,2,1998,
NetFlix,Units,3,1999,
NetFlix,Units,4,2000,14500
NetFlix,Units,5,2001,18000
NetFlix,Units,6,2002,35000
NetFlix,Units,7,2003,55000
NetFlix,Units,8,2004,70000
NetFlix,Units,9,2005,90000
NetFlix,Units,10,2006,
NetFlix,Units,11,2007,100000
NetFlix,Units,12,2008,
NetFlix,Units,13,2009,
NetFlix,Units,14,2010,
NetFlix,Units,15,2011,
NetFlix,Units,16,2012,
NetFlix,Units,17,2013,
Wikipedia,Revenue,1,2001,
Wikipedia,Revenue,2,2002,
Wikipedia,Revenue,3,2003,
Wikipedia,Revenue,4,2004,80129
Wikipedia,Revenue,5,2005,379088
Wikipedia,Revenue,6,2006,1508039
Wikipedia,Revenue,7,2007,7060610
Wikipedia,Revenue,8,2008,8671000
Wikipedia,Revenue,9,2009,16578000
Wikipedia,Revenue,10,2010,24785000
Wikipedia,Revenue,11,2011,38048000
Wikipedia,Revenue,12,2012,46069750
Wikipedia,Revenue,13,2013,
Wikipedia,Revenue,14,2014,
Wikipedia,Revenue,15,2015,
Wikipedia,Revenue,16,2016,
Wikipedia,Revenue,17,2017,
Wikipedia,Users,1,2001,208
Wikipedia,Users,2,2002,1258
Wikipedia,Users,3,2003,5721
Wikipedia,Users,4,2004,28679
Wikipedia,Users,5,2005,90993
Wikipedia,Users,6,2006,277167
Wikipedia,Users,7,2007,534206
Wikipedia,Users,8,2008,767995
Wikipedia,Users,9,2009,991213
Wikipedia,Users,10,2010,1199801
Wikipedia,Users,11,2011,1398624
Wikipedia,Users,12,2012,1586791
Wikipedia,Users,13,2013,1762027
Wikipedia,Users,14,2014,
Wikipedia,Users,15,2015,
Wikipedia,Users,16,2016,
Wikipedia,Users,17,2017,
Wikipedia,Units,1,2001,13000
Wikipedia,Units,2,2002,116000
Wikipedia,Units,3,2003,382000
Wikipedia,Units,4,2004,1100000
Wikipedia,Units,5,2005,2700000
Wikipedia,Units,6,2006,5400000
Wikipedia,Units,7,2007,8700000
Wikipedia,Units,8,2008,11500000
Wikipedia,Units,9,2009,14200000
Wikipedia,Units,10,2010,17000000
Wikipedia,Units,11,2011,20100000
Wikipedia,Units,12,2012,23600000
Wikipedia,Units,13,2013,30435249
Wikipedia,Units,14,2014,
Wikipedia,Units,15,2015,
Wikipedia,Units,16,2016,
Wikipedia,Units,17,2017,
Yelp,Revenue,1,2004,
Yelp,Revenue,2,2005,443000
Yelp,Revenue,3,2006,3745000
Yelp,Revenue,4,2007,12140000
Yelp,Revenue,5,2008,25810000
Yelp,Revenue,6,2009,47731000
Yelp,Revenue,7,2010,83285000
Yelp,Revenue,8,2011,137567000
Yelp,Revenue,9,2012,
Yelp,Revenue,10,2013,
Yelp,Revenue,11,2014,
Yelp,Revenue,12,2015,
Yelp,Revenue,13,2016,
Yelp,Revenue,14,2017,
Yelp,Revenue,15,2018,
Yelp,Revenue,16,2019,
Yelp,Revenue,17,2020,
Yelp,Users,1,2004,500000
Yelp,Users,2,2005,1808000
Yelp,Users,3,2006,5717000
Yelp,Users,4,2007,15736000
Yelp,Users,5,2008,26077000
Yelp,Users,6,2009,39356000
Yelp,Users,7,2010,65796000
Yelp,Users,8,2011,86308000
Yelp,Users,9,2012,117000000
Yelp,Users,10,2013,
Yelp,Users,11,2014,
Yelp,Users,12,2015,
Yelp,Users,13,2016,
Yelp,Users,14,2017,
Yelp,Users,15,2018,
Yelp,Users,16,2019,
Yelp,Users,17,2020,
Yelp,Units,1,2004,12000
Yelp,Units,2,2005,611000
Yelp,Units,3,2006,1993000
Yelp,Units,4,2007,4689000
Yelp,Units,5,2008,8834000
Yelp,Units,6,2009,15000000
Yelp,Units,7,2010,22000000
Yelp,Units,8,2011,36000000
Yelp,Units,9,2012,47000000
Yelp,Units,10,2013,
Yelp,Units,11,2014,
Yelp,Units,12,2015,
Yelp,Units,13,2016,
Yelp,Units,14,2017,
Yelp,Units,15,2018,
Yelp,Units,16,2019,
Yelp,Units,17,2020,
Ebay,Revenue,1,1995,32051000
Ebay,Revenue,2,1996,41370000
Ebay,Revenue,3,1997,86129000
Ebay,Revenue,4,1998,224724000
Ebay,Revenue,5,1999,431424000
Ebay,Revenue,6,2000,748821000
Ebay,Revenue,7,2001,1214100000
Ebay,Revenue,8,2002,2165096000
Ebay,Revenue,9,2003,3271309000
Ebay,Revenue,10,2004,4552401000
Ebay,Revenue,11,2005,5969741000
Ebay,Revenue,12,2006,7672329000
Ebay,Revenue,13,2007,8451261000
Ebay,Revenue,14,2008,8727362000
Ebay,Revenue,15,2009,9156000000
Ebay,Revenue,16,2010,11652000000
Ebay,Revenue,17,2011,14072000000
Ebay,Users,1,1995,41000
Ebay,Users,2,1996,341000
Ebay,Users,3,1997,2181000
Ebay,Users,4,1998,10006000
Ebay,Users,5,1999,22500000
Ebay,Users,6,2000,42400000
Ebay,Users,7,2001,61700000
Ebay,Users,8,2002,94900000
Ebay,Users,9,2003,135500000
Ebay,Users,10,2004,180600000
Ebay,Users,11,2005,171200000
Ebay,Users,12,2006,276300000
Ebay,Users,13,2007,405300000
Ebay,Users,14,2008,
Ebay,Users,15,2009,
Ebay,Users,16,2010,
Ebay,Users,17,2011,
Ebay,Units,1,1995,289000
Ebay,Units,2,1996,4394000
Ebay,Units,3,1997,33688000
Ebay,Units,4,1998,129560000
Ebay,Units,5,1999,264700000
Ebay,Units,6,2000,423100000
Ebay,Units,7,2001,638300000
Ebay,Units,8,2002,971000000
Ebay,Units,9,2003,1412800000
Ebay,Units,10,2004,1876800000
Ebay,Units,11,2005,2365300000
Ebay,Units,12,2006,2340500000
Ebay,Units,13,2007,3400000000
Ebay,Units,14,2008,
Ebay,Units,15,2009,
Ebay,Units,16,2010,
Ebay,Units,17,2011,
