Company,Type,Year,Momentum
Facebook,Revenue,1,145924000000
Facebook,Users,1,1000000000000
Facebook,Units,1,1
Facebook,Revenue,2,77562000000000
Facebook,Users,2,24750000000000
Facebook,Units,2,1
Facebook,Revenue,3,1872000000000000
Facebook,Users,3,78000000000000
Facebook,Units,3,1
Facebook,Revenue,4,16065000000000000
Facebook,Users,4,1900000000000000
Facebook,Units,4,1
Facebook,Revenue,5,32368000000000000
Facebook,Users,5,21875000000000000
Facebook,Units,5,34848000000000000
Facebook,Revenue,6,392385000000000000
Facebook,Users,6,61250000000000000
Facebook,Units,6,758000000000000000
Facebook,Revenue,7,2362878000000000000
Facebook,Users,7,156864000000000000
Facebook,Units,7,20000000000000000000
Facebook,Revenue,8,6446007000000000000
Facebook,Users,8,200265000000000000
Facebook,Units,8,14000000000000000000
Facebook,Revenue,9,7012642000000000000
Facebook,Users,9,222816000000000000
Facebook,Units,9,183750000000000000000
Facebook,Revenue,10,9972600000000000000
Facebook,Users,10,159460000000000000
Facebook,Units,10,523687500000000000000
Facebook,Revenue,11,1
Facebook,Users,11,1
Facebook,Units,11,1
Facebook,Revenue,12,1
Facebook,Users,12,1
Facebook,Units,12,1
Facebook,Revenue,13,1
Facebook,Users,13,1
Facebook,Units,13,1
Facebook,Revenue,14,1
Facebook,Users,14,1
Facebook,Units,14,1
Facebook,Revenue,15,1
Facebook,Users,15,1
Facebook,Units,15,1
Facebook,Revenue,16,1
Facebook,Users,16,1
Facebook,Units,16,1
Facebook,Revenue,17,1
Facebook,Users,17,1
Facebook,Units,17,1
NetFlix,Revenue,1,25060036000000
NetFlix,Users,1,11449000000
NetFlix,Units,1,1
NetFlix,Revenue,2,1108693872000000
NetFlix,Users,2,54020000000
NetFlix,Units,2,1
NetFlix,Revenue,3,3037846416000000
NetFlix,Users,3,74784000000
NetFlix,Units,3,1
NetFlix,Revenue,4,11749864564000000
NetFlix,Users,4,343657000000
NetFlix,Units,4,1
NetFlix,Revenue,5,32590734552000000
NetFlix,Users,5,936810000000
NetFlix,Units,5,63000000
NetFlix,Revenue,6,118353069032000000
NetFlix,Users,6,2893800000000
NetFlix,Units,6,595000000
NetFlix,Revenue,7,120059254805000000
NetFlix,Users,7,6720000000000
NetFlix,Units,7,1100000000
NetFlix,Revenue,8,313396747020000000
NetFlix,Users,8,13230000000000
NetFlix,Units,8,1050000000
NetFlix,Revenue,9,251657621100000000
NetFlix,Users,9,9000000000000
NetFlix,Units,9,1800000000
NetFlix,Revenue,10,217296335691000000
NetFlix,Users,10,17747100000000
NetFlix,Units,10,1
NetFlix,Revenue,11,510447568552000000
NetFlix,Users,11,35307304000000
NetFlix,Units,11,1
NetFlix,Revenue,12,1064781394500000000
NetFlix,Users,12,154917420000000
NetFlix,Units,12,1
NetFlix,Revenue,13,3339015414304000000
NetFlix,Users,13,163897479000000
NetFlix,Units,13,1
NetFlix,Revenue,14,1460694471810000000
NetFlix,Users,14,222651000000000
NetFlix,Units,14,1
NetFlix,Revenue,15,1
NetFlix,Users,15,682560000000000
NetFlix,Units,15,1
NetFlix,Revenue,16,1
NetFlix,Users,16,1
NetFlix,Units,16,1
NetFlix,Revenue,17,1
NetFlix,Users,17,1
NetFlix,Units,17,1
Wikipedia,Revenue,1,1
Wikipedia,Users,1,43264
Wikipedia,Units,1,169000000
Wikipedia,Revenue,2,1
Wikipedia,Users,2,1320900
Wikipedia,Units,2,11948000000
Wikipedia,Revenue,3,1
Wikipedia,Users,3,25532823
Wikipedia,Units,3,101612000000
Wikipedia,Revenue,4,1
Wikipedia,Users,4,658412482
Wikipedia,Units,4,789800000000
Wikipedia,Revenue,5,113331769392
Wikipedia,Users,5,5670137802
Wikipedia,Units,5,4320000000000
Wikipedia,Revenue,6,1702502137089
Wikipedia,Users,6,51601289058
Wikipedia,Units,6,14580000000000
Wikipedia,Revenue,7,39204538328310
Wikipedia,Users,7,137311776034
Wikipedia,Units,7,28710000000000
Wikipedia,Revenue,8,13963691690000
Wikipedia,Users,8,179548783055
Wikipedia,Units,8,32200000000000
Wikipedia,Revenue,9,131082246000000
Wikipedia,Users,9,221256583434
Wikipedia,Units,9,38340000000000
Wikipedia,Revenue,10,203410495000000
Wikipedia,Users,10,250264090988
Wikipedia,Units,10,47600000000000
Wikipedia,Revenue,11,504630624000000
Wikipedia,Users,11,278078619552
Wikipedia,Units,11,62310000000000
Wikipedia,Revenue,12,369560017062500
Wikipedia,Users,12,298581702097
Wikipedia,Units,12,82600000000000
Wikipedia,Revenue,13,1
Wikipedia,Users,13,308770563372
Wikipedia,Units,13,208032505292001
Wikipedia,Revenue,14,1
Wikipedia,Users,14,1
Wikipedia,Units,14,1
Wikipedia,Revenue,15,1
Wikipedia,Users,15,1
Wikipedia,Units,15,1
Wikipedia,Revenue,16,1
Wikipedia,Users,16,1
Wikipedia,Units,16,1
Wikipedia,Revenue,17,1
Wikipedia,Users,17,1
Wikipedia,Units,17,1
Yelp,Revenue,1,1
Yelp,Users,1,250000000000
Yelp,Units,1,144000000
Yelp,Revenue,2,1
Yelp,Users,2,2364864000000
Yelp,Units,2,365989000000
Yelp,Revenue,3,12365990000000
Yelp,Users,3,22347753000000
Yelp,Units,3,2754326000000
Yelp,Revenue,4,101915300000000
Yelp,Users,4,157658984000000
Yelp,Units,4,12641544000000
Yelp,Revenue,5,352822700000000
Yelp,Users,5,269662257000000
Yelp,Units,5,36616930000000
Yelp,Revenue,6,1046311251000000
Yelp,Users,6,522608324000000
Yelp,Units,6,92490000000000
Yelp,Revenue,7,2961114890000000
Yelp,Users,7,1739646240000000
Yelp,Units,7,154000000000000
Yelp,Revenue,8,7467411894000000
Yelp,Users,8,1770349696000000
Yelp,Units,8,504000000000000
Yelp,Revenue,9,1
Yelp,Users,9,3590964000000000
Yelp,Units,9,517000000000000
Yelp,Revenue,10,1
Yelp,Users,10,1
Yelp,Units,10,1
Yelp,Revenue,11,1
Yelp,Users,11,1
Yelp,Units,11,1
Yelp,Revenue,12,1
Yelp,Users,12,1
Yelp,Units,12,1
Yelp,Revenue,13,1
Yelp,Users,13,1
Yelp,Units,13,1
Yelp,Revenue,14,1
Yelp,Users,14,1
Yelp,Units,14,1
Yelp,Revenue,15,1
Yelp,Users,15,1
Yelp,Units,15,1
Yelp,Revenue,16,1
Yelp,Users,16,1
Yelp,Units,16,1
Yelp,Revenue,17,1
Yelp,Users,17,1
Yelp,Units,17,1
Ebay,Revenue,1,1027266601000000
Ebay,Users,1,1681000000
Ebay,Units,1,83521000000
Ebay,Revenue,2,385527030000000
Ebay,Users,2,102300000000
Ebay,Units,2,18037370000000
Ebay,Revenue,3,3855047911000000
Ebay,Users,3,4013040000000
Ebay,Units,3,986856272000000
Ebay,Revenue,4,31145622780000000
Ebay,Users,4,78296950000000
Ebay,Units,4,12421176320000000
Ebay,Revenue,5,89175340800000000
Ebay,Users,5,281115000000000
Ebay,Units,5,35771558000000000
Ebay,Revenue,6,237673538937000000
Ebay,Users,6,843760000000000
Ebay,Units,6,67019040000000000
Ebay,Revenue,7,564895233900000000
Ebay,Users,7,1190810000000000
Ebay,Units,7,137362160000000000
Ebay,Revenue,8,2058997635616000000
Ebay,Users,8,3150680000000000
Ebay,Units,8,323051700000000000
Ebay,Revenue,9,3618764542817000000
Ebay,Users,9,5501300000000000
Ebay,Units,9,624175040000000000
Ebay,Revenue,10,5832044501892000000
Ebay,Users,10,8145060000000000
Ebay,Units,10,870835200000000000
Ebay,Revenue,11,8461152708940000000
Ebay,Users,11,-1609280000000000
Ebay,Units,11,1155449050000000000
Ebay,Revenue,12,13062815287452000000
Ebay,Users,12,29039130000000000
Ebay,Units,12,-58044400000000000
Ebay,Revenue,13,6582957633252000000
Ebay,Users,13,52283700000000000
Ebay,Units,13,3602300000000000000
Ebay,Revenue,14,2409633375562000000
Ebay,Users,14,1
Ebay,Units,14,1
Ebay,Revenue,15,3924609528000000000
Ebay,Users,15,1
Ebay,Units,15,1
Ebay,Revenue,16,29083392000000000000
Ebay,Users,16,1
Ebay,Units,16,1
Ebay,Revenue,17,34054240000000000000
Ebay,Users,17,1
Ebay,Units,17,1
